dt,U_aN
0,0
0.01,-0.333333
0.02,-0.333331
0.03,-0.333327
0.04,-0.333322
0.05,-0.333314
0.06,-0.333305
0.07,-0.333294
0.08,-0.333281
0.09,-0.333266
0.1,-0.33325
0.11,-0.333231
0.12,-0.333211
0.13,-0.333188
0.14,-0.333164
0.15,-0.333138
0.16,-0.333111
0.17,-0.333081
0.18,-0.33305
0.19,-0.333016
0.2,-0.332981
0.21,-0.332944
0.22,-0.332905
0.23,-0.332865
0.24,-0.332822
0.25,-0.332778
0.26,-0.332731
0.27,-0.332683
0.28,-0.332633
0.29,-0.332581
0.3,-0.332528
0.31,-0.332472
0.32,-0.332415
0.33,-0.332356
0.34,-0.332295
0.35,-0.332232
0.36,-0.332167
0.37,-0.332101
0.38,-0.332032
0.39,-0.331962
0.4,-0.33189
0.41,-0.331816
0.42,-0.33174
0.43,-0.331663
0.44,-0.331583
0.45,-0.331502
0.46,-0.331419
0.47,-0.331334
0.48,-0.331247
0.49,-0.331159
0.5,-0.331068
0.51,-0.330976
0.52,-0.330882
0.53,-0.330786
0.54,-0.330688
0.55,-0.330589
0.56,-0.330487
0.57,-0.330384
0.58,-0.330279
0.59,-0.330172
0.6,-0.330063
0.61,-0.329953
0.62,-0.32984
0.63,-0.329726
0.64,-0.32961
0.65,-0.329492
0.66,-0.329372
0.67,-0.329251
0.68,-0.329128
0.69,-0.329003
0.7,-0.328876
0.71,-0.328747
0.72,-0.328616
0.73,-0.328484
0.74,-0.32835
0.75,-0.328214
0.76,-0.328076
0.77,-0.327936
0.78,-0.327795
0.79,-0.327652
0.8,-0.327507
0.81,-0.32736
0.82,-0.327211
0.83,-0.327061
0.84,-0.326909
0.85,-0.326754
0.86,-0.326599
0.87,-0.326441
0.88,-0.326282
0.89,-0.32612
0.9,-0.325957
0.91,-0.325793
0.92,-0.325626
0.93,-0.325458
0.94,-0.325287
0.95,-0.325116
0.96,-0.324942
0.97,-0.324766
0.98,-0.324589
0.99,-0.32441
1,-0.324229
1.01,-0.324046
1.02,-0.323862
1.03,-0.323676
1.04,-0.323488
1.05,-0.323298
1.06,-0.323107
1.07,-0.322913
1.08,-0.322718
1.09,-0.322522
1.1,-0.322323
1.11,-0.322123
1.12,-0.321921
1.13,-0.321717
1.14,-0.321511
1.15,-0.321304
1.16,-0.321095
1.17,-0.320884
1.18,-0.320672
1.19,-0.320457
1.2,-0.320241
1.21,-0.320023
1.22,-0.319804
1.23,-0.319583
1.24,-0.31936
1.25,-0.319135
1.26,-0.318908
1.27,-0.31868
1.28,-0.31845
1.29,-0.318218
1.3,-0.317985
1.31,-0.31775
1.32,-0.317513
1.33,-0.317274
1.34,-0.317034
1.35,-0.316792
1.36,-0.316548
1.37,-0.316303
1.38,-0.316056
1.39,-0.315807
1.4,-0.315556
1.41,-0.315304
1.42,-0.31505
1.43,-0.314795
1.44,-0.314537
1.45,-0.314278
1.46,-0.314017
1.47,-0.313755
1.48,-0.313491
1.49,-0.313225
1.5,-0.312957
1.51,-0.312688
1.52,-0.312417
1.53,-0.312145
1.54,-0.311871
1.55,-0.311595
1.56,-0.311317
1.57,-0.311038
1.58,-0.310757
1.59,-0.310474
1.6,-0.31019
1.61,-0.309904
1.62,-0.309617
1.63,-0.309328
1.64,-0.309037
1.65,-0.308744
1.66,-0.30845
1.67,-0.308154
1.68,-0.307857
1.69,-0.307558
1.7,-0.307257
1.71,-0.306955
1.72,-0.306651
1.73,-0.306345
1.74,-0.306038
1.75,-0.305729
1.76,-0.305419
1.77,-0.305107
1.78,-0.304793
1.79,-0.304477
1.8,-0.304161
1.81,-0.303842
1.82,-0.303522
1.83,-0.3032
1.84,-0.302877
1.85,-0.302552
1.86,-0.302225
1.87,-0.301897
1.88,-0.301567
1.89,-0.301236
1.9,-0.300903
1.91,-0.300568
1.92,-0.300232
1.93,-0.299895
1.94,-0.299556
1.95,-0.299215
1.96,-0.298872
1.97,-0.298528
1.98,-0.298183
1.99,-0.297836
2,-0.297487
2.01,-0.297137
2.02,-0.296785
2.03,-0.296432
2.04,-0.296077
2.05,-0.295721
2.06,-0.295363
2.07,-0.295004
2.08,-0.294643
2.09,-0.29428
2.1,-0.293916
2.11,-0.293551
2.12,-0.293183
2.13,-0.292815
2.14,-0.292445
2.15,-0.292073
2.16,-0.2917
2.17,-0.291325
2.18,-0.290949
2.19,-0.290572
2.2,-0.290192
2.21,-0.289812
2.22,-0.28943
2.23,-0.289046
2.24,-0.288661
2.25,-0.288274
2.26,-0.287886
2.27,-0.287497
2.28,-0.287106
2.29,-0.286713
2.3,-0.28632
2.31,-0.285924
2.32,-0.285527
2.33,-0.285129
2.34,-0.284729
2.35,-0.284328
2.36,-0.283925
2.37,-0.283521
2.38,-0.283116
2.39,-0.282709
2.4,-0.2823
2.41,-0.281891
2.42,-0.281479
2.43,-0.281067
2.44,-0.280653
2.45,-0.280237
2.46,-0.27982
2.47,-0.279402
2.48,-0.278982
2.49,-0.278561
2.5,-0.278138
2.51,-0.277715
2.52,-0.277289
2.53,-0.276863
2.54,-0.276434
2.55,-0.276005
2.56,-0.275574
2.57,-0.275142
2.58,-0.274708
2.59,-0.274273
2.6,-0.273837
2.61,-0.273399
2.62,-0.27296
2.63,-0.27252
2.64,-0.272078
2.65,-0.271635
2.66,-0.271191
2.67,-0.270745
2.68,-0.270298
2.69,-0.26985
2.7,-0.2694
2.71,-0.268949
2.72,-0.268496
2.73,-0.268043
2.74,-0.267588
2.75,-0.267131
2.76,-0.266674
2.77,-0.266215
2.78,-0.265755
2.79,-0.265293
2.8,-0.26483
2.81,-0.264366
2.82,-0.263901
2.83,-0.263434
2.84,-0.262966
2.85,-0.262497
2.86,-0.262027
2.87,-0.261555
2.88,-0.261082
2.89,-0.260608
2.9,-0.260133
2.91,-0.259656
2.92,-0.259178
2.93,-0.258699
2.94,-0.258218
2.95,-0.257737
2.96,-0.257254
2.97,-0.25677
2.98,-0.256284
2.99,-0.255798
3,-0.25531
3.01,-0.254821
3.02,-0.254331
3.03,-0.25384
3.04,-0.253347
3.05,-0.252853
3.06,-0.252358
3.07,-0.251862
3.08,-0.251365
3.09,-0.250867
3.1,-0.250367
3.11,-0.249866
3.12,-0.249364
3.13,-0.248861
3.14,-0.248357
3.15,-0.247852
3.16,-0.247345
3.17,-0.246837
3.18,-0.246328
3.19,-0.245818
3.2,-0.245307
3.21,-0.244795
3.22,-0.244282
3.23,-0.243767
3.24,-0.243252
3.25,-0.242735
3.26,-0.242217
3.27,-0.241699
3.28,-0.241179
3.29,-0.240657
3.3,-0.240135
3.31,-0.239612
3.32,-0.239088
3.33,-0.238562
3.34,-0.238036
3.35,-0.237508
3.36,-0.23698
