dt,U_dN
0,12
0.01,12
0.02,12
0.03,11.9999
0.04,11.9998
0.05,11.9997
0.06,11.9995
0.07,11.9993
0.08,11.9991
0.09,11.9988
0.1,11.9985
0.11,11.9982
0.12,11.9978
0.13,11.9974
0.14,11.997
0.15,11.9965
0.16,11.996
0.17,11.9955
0.18,11.9949
0.19,11.9943
0.2,11.9937
0.21,11.993
0.22,11.9923
0.23,11.9916
0.24,11.9908
0.25,11.99
0.26,11.9892
0.27,11.9883
0.28,11.9874
0.29,11.9865
0.3,11.9855
0.31,11.9845
0.32,11.9835
0.33,11.9824
0.34,11.9813
0.35,11.9802
0.36,11.979
0.37,11.9778
0.38,11.9766
0.39,11.9753
0.4,11.974
0.41,11.9727
0.42,11.9713
0.43,11.9699
0.44,11.9685
0.45,11.967
0.46,11.9655
0.47,11.964
0.48,11.9624
0.49,11.9608
0.5,11.9592
0.51,11.9575
0.52,11.9558
0.53,11.9541
0.54,11.9524
0.55,11.9506
0.56,11.9487
0.57,11.9469
0.58,11.945
0.59,11.943
0.6,11.9411
0.61,11.9391
0.62,11.9371
0.63,11.935
0.64,11.9329
0.65,11.9308
0.66,11.9286
0.67,11.9264
0.68,11.9242
0.69,11.922
0.7,11.9197
0.71,11.9173
0.72,11.915
0.73,11.9126
0.74,11.9102
0.75,11.9077
0.76,11.9052
0.77,11.9027
0.78,11.9002
0.79,11.8976
0.8,11.895
0.81,11.8923
0.82,11.8896
0.83,11.8869
0.84,11.8842
0.85,11.8814
0.86,11.8786
0.87,11.8757
0.88,11.8728
0.89,11.8699
0.9,11.867
0.91,11.864
0.92,11.861
0.93,11.858
0.94,11.8549
0.95,11.8518
0.96,11.8486
0.97,11.8455
0.98,11.8423
0.99,11.839
1,11.8357
1.01,11.8324
1.02,11.8291
1.03,11.8257
1.04,11.8223
1.05,11.8189
1.06,11.8154
1.07,11.8119
1.08,11.8084
1.09,11.8049
1.1,11.8013
1.11,11.7976
1.12,11.794
1.13,11.7903
1.14,11.7866
1.15,11.7828
1.16,11.779
1.17,11.7752
1.18,11.7714
1.19,11.7675
1.2,11.7636
1.21,11.7596
1.22,11.7556
1.23,11.7516
1.24,11.7476
1.25,11.7435
1.26,11.7394
1.27,11.7353
1.28,11.7311
1.29,11.7269
1.3,11.7227
1.31,11.7184
1.32,11.7141
1.33,11.7098
1.34,11.7054
1.35,11.701
1.36,11.6966
1.37,11.6921
1.38,11.6876
1.39,11.6831
1.4,11.6786
1.41,11.674
1.42,11.6694
1.43,11.6647
1.44,11.66
1.45,11.6553
1.46,11.6506
1.47,11.6458
1.48,11.641
1.49,11.6362
1.5,11.6313
1.51,11.6264
1.52,11.6215
1.53,11.6165
1.54,11.6115
1.55,11.6065
1.56,11.6015
1.57,11.5964
1.58,11.5913
1.59,11.5861
1.6,11.581
1.61,11.5757
1.62,11.5705
1.63,11.5652
1.64,11.5599
1.65,11.5546
1.66,11.5492
1.67,11.5438
1.68,11.5384
1.69,11.533
1.7,11.5275
1.71,11.522
1.72,11.5164
1.73,11.5108
1.74,11.5052
1.75,11.4996
1.76,11.4939
1.77,11.4882
1.78,11.4825
1.79,11.4767
1.8,11.4709
1.81,11.4651
1.82,11.4593
1.83,11.4534
1.84,11.4475
1.85,11.4415
1.86,11.4355
1.87,11.4295
1.88,11.4235
1.89,11.4174
1.9,11.4113
1.91,11.4052
1.92,11.3991
1.93,11.3929
1.94,11.3867
1.95,11.3804
1.96,11.3741
1.97,11.3678
1.98,11.3615
1.99,11.3551
2,11.3487
2.01,11.3423
2.02,11.3359
2.03,11.3294
2.04,11.3229
2.05,11.3163
2.06,11.3098
2.07,11.3032
2.08,11.2965
2.09,11.2899
2.1,11.2832
2.11,11.2765
2.12,11.2697
2.13,11.2629
2.14,11.2561
2.15,11.2493
2.16,11.2424
2.17,11.2355
2.18,11.2286
2.19,11.2216
2.2,11.2147
2.21,11.2077
2.22,11.2006
2.23,11.1935
2.24,11.1864
2.25,11.1793
2.26,11.1722
2.27,11.165
2.28,11.1578
2.29,11.1505
2.3,11.1433
2.31,11.136
2.32,11.1286
2.33,11.1213
2.34,11.1139
2.35,11.1065
2.36,11.099
2.37,11.0916
2.38,11.0841
2.39,11.0765
2.4,11.069
2.41,11.0614
2.42,11.0538
2.43,11.0461
2.44,11.0385
2.45,11.0308
2.46,11.0231
2.47,11.0153
2.48,11.0075
2.49,10.9997
2.5,10.9919
2.51,10.984
2.52,10.9761
2.53,10.9682
2.54,10.9603
2.55,10.9523
2.56,10.9443
2.57,10.9363
