dt,WR_x,WR_y
0.0,12.0,12.0
0.01,12.0,12.0
0.02,11.9999,11.9999
0.03,11.9999,11.9999
0.04,11.9997,11.9997
0.05,11.9996,11.9996
0.06,11.9994,11.9994
0.07,11.9992,11.9992
0.08,11.9989,11.9989
0.09,11.9987,11.9987
0.1,11.9983,11.9983
0.11,11.998,11.998
0.12,11.9976,11.9976
0.13,11.9972,11.9972
0.14,11.9967,11.9967
0.15,11.9963,11.9963
0.16,11.9957,11.9957
0.17,11.9952,11.9952
0.18,11.9946,11.9946
0.19,11.994,11.994
0.2,11.9933,11.9933
0.21,11.9927,11.9927
0.22,11.9919,11.9919
0.23,11.9912,11.9912
0.24,11.9904,11.9904
0.25,11.9896,11.9896
0.26,11.9887,11.9887
0.27,11.9879,11.9879
0.28,11.9869,11.9869
0.29,11.986,11.986
0.3,11.985,11.985
0.31,11.984,11.984
0.32,11.9829,11.9829
0.33,11.9819,11.9819
0.34,11.9807,11.9807
0.35,11.9796,11.9796
0.36,11.9784,11.9784
0.37,11.9772,11.9772
0.38,11.9759,11.9759
0.39,11.9747,11.9747
0.4,11.9734,11.9734
0.41,11.972,11.972
0.42,11.9706,11.9706
0.43,11.9692,11.9692
0.44,11.9678,11.9678
0.45,11.9663,11.9663
0.46,11.9648,11.9648
0.47,11.9632,11.9632
0.48,11.9616,11.9616
0.49,11.96,11.96
0.5,11.9584,11.9584
0.51,11.9567,11.9567
0.52,11.955,11.955
0.53,11.9532,11.9532
0.54,11.9515,11.9515
0.55,11.9497,11.9497
0.56,11.9478,11.9478
0.57,11.9459,11.9459
0.58,11.944,11.944
0.59,11.9421,11.9421
0.6,11.9401,11.9401
0.61,11.9381,11.9381
0.62,11.936,11.936
0.63,11.934,11.934
0.64,11.9319,11.9319
0.65,11.9297,11.9297
0.66,11.9275,11.9275
0.67,11.9253,11.9253
0.68,11.9231,11.9231
0.69,11.9208,11.9208
0.7,11.9185,11.9185
0.71,11.9162,11.9162
0.72,11.9138,11.9138
0.73,11.9114,11.9114
0.74,11.909,11.909
0.75,11.9065,11.9065
0.76,11.904,11.904
0.77,11.9015,11.9015
0.78,11.8989,11.8989
0.79,11.8963,11.8963
0.8,11.8936,11.8936
0.81,11.891,11.891
0.82,11.8883,11.8883
0.83,11.8855,11.8855
0.84,11.8828,11.8828
0.85,11.88,11.88
0.86,11.8772,11.8772
0.87,11.8743,11.8743
0.88,11.8714,11.8714
0.89,11.8685,11.8685
0.9,11.8655,11.8655
0.91,11.8625,11.8625
0.92,11.8595,11.8595
0.93,11.8564,11.8564
0.94,11.8533,11.8533
0.95,11.8502,11.8502
0.96,11.8471,11.8471
0.97,11.8439,11.8439
0.98,11.8406,11.8406
0.99,11.8374,11.8374
1.0,11.8341,11.8341
1.01,11.8308,11.8308
1.02,11.8274,11.8274
1.03,11.824,11.824
1.04,11.8206,11.8206
1.05,11.8172,11.8172
1.06,11.8137,11.8137
1.07,11.8102,11.8102
1.08,11.8066,11.8066
1.09,11.8031,11.8031
1.1,11.7995,11.7995
1.11,11.7958,11.7958
1.12,11.7921,11.7921
1.13,11.7884,11.7884
1.14,11.7847,11.7847
1.15,11.7809,11.7809
1.16,11.7771,11.7771
1.17,11.7733,11.7733
1.18,11.7694,11.7694
1.19,11.7655,11.7655
1.2,11.7616,11.7616
1.21,11.7576,11.7576
1.22,11.7536,11.7536
1.23,11.7496,11.7496
1.24,11.7456,11.7456
1.25,11.7415,11.7415
1.26,11.7373,11.7373
1.27,11.7332,11.7332
1.28,11.729,11.729
1.29,11.7248,11.7248
1.3,11.7205,11.7205
1.31,11.7162,11.7162
1.32,11.7119,11.7119
1.33,11.7076,11.7076
1.34,11.7032,11.7032
1.35,11.6988,11.6988
1.36,11.6944,11.6944
1.37,11.6899,11.6899
1.38,11.6854,11.6854
1.39,11.6808,11.6808
1.4,11.6763,11.6763
1.41,11.6717,11.6717
1.42,11.6671,11.6671
1.43,11.6624,11.6624
1.44,11.6577,11.6577
1.45,11.653,11.653
1.46,11.6482,11.6482
1.47,11.6434,11.6434
