dt,WR_x,WR_y,U_dN
0.0,12.0,12.0,12.0
0.01,12.0,12.0,12.0
0.02,11.9999,11.9999,12.0
0.03,11.9999,11.9999,11.9999
0.04,11.9997,11.9997,11.9998
0.05,11.9996,11.9996,11.9997
0.06,11.9994,11.9994,11.9995
0.07,11.9992,11.9992,11.9993
0.08,11.9989,11.9989,11.9991
0.09,11.9987,11.9987,11.9988
0.1,11.9983,11.9983,11.9985
0.11,11.998,11.998,11.9982
0.12,11.9976,11.9976,11.9978
0.13,11.9972,11.9972,11.9974
0.14,11.9967,11.9967,11.997
0.15,11.9963,11.9963,11.9965
0.16,11.9957,11.9957,11.996
0.17,11.9952,11.9952,11.9955
0.18,11.9946,11.9946,11.9949
0.19,11.994,11.994,11.9943
0.2,11.9933,11.9933,11.9937
0.21,11.9927,11.9927,11.993
0.22,11.9919,11.9919,11.9923
0.23,11.9912,11.9912,11.9916
0.24,11.9904,11.9904,11.9908
0.25,11.9896,11.9896,11.99
0.26,11.9887,11.9887,11.9892
0.27,11.9879,11.9879,11.9883
0.28,11.9869,11.9869,11.9874
0.29,11.986,11.986,11.9865
0.3,11.985,11.985,11.9855
0.31,11.984,11.984,11.9845
0.32,11.9829,11.9829,11.9835
0.33,11.9819,11.9819,11.9824
0.34,11.9807,11.9807,11.9813
0.35,11.9796,11.9796,11.9802
0.36,11.9784,11.9784,11.979
0.37,11.9772,11.9772,11.9778
0.38,11.9759,11.9759,11.9766
0.39,11.9747,11.9747,11.9753
0.4,11.9734,11.9734,11.974
0.41,11.972,11.972,11.9727
0.42,11.9706,11.9706,11.9713
0.43,11.9692,11.9692,11.9699
0.44,11.9678,11.9678,11.9685
0.45,11.9663,11.9663,11.967
0.46,11.9648,11.9648,11.9655
0.47,11.9632,11.9632,11.964
0.48,11.9616,11.9616,11.9624
0.49,11.96,11.96,11.9608
0.5,11.9584,11.9584,11.9592
0.51,11.9567,11.9567,11.9575
0.52,11.955,11.955,11.9558
0.53,11.9532,11.9532,11.9541
0.54,11.9515,11.9515,11.9524
0.55,11.9497,11.9497,11.9506
0.56,11.9478,11.9478,11.9487
0.57,11.9459,11.9459,11.9469
0.58,11.944,11.944,11.945
0.59,11.9421,11.9421,11.943
0.6,11.9401,11.9401,11.9411
0.61,11.9381,11.9381,11.9391
0.62,11.936,11.936,11.9371
0.63,11.934,11.934,11.935
0.64,11.9319,11.9319,11.9329
0.65,11.9297,11.9297,11.9308
0.66,11.9275,11.9275,11.9286
0.67,11.9253,11.9253,11.9264
0.68,11.9231,11.9231,11.9242
0.69,11.9208,11.9208,11.922
0.7,11.9185,11.9185,11.9197
0.71,11.9162,11.9162,11.9173
0.72,11.9138,11.9138,11.915
0.73,11.9114,11.9114,11.9126
0.74,11.909,11.909,11.9102
0.75,11.9065,11.9065,11.9077
0.76,11.904,11.904,11.9052
0.77,11.9015,11.9015,11.9027
0.78,11.8989,11.8989,11.9002
0.79,11.8963,11.8963,11.8976
0.8,11.8936,11.8936,11.895
0.81,11.891,11.891,11.8923
0.82,11.8883,11.8883,11.8896
0.83,11.8855,11.8855,11.8869
0.84,11.8828,11.8828,11.8842
0.85,11.88,11.88,11.8814
0.86,11.8772,11.8772,11.8786
0.87,11.8743,11.8743,11.8757
0.88,11.8714,11.8714,11.8728
0.89,11.8685,11.8685,11.8699
0.9,11.8655,11.8655,11.867
0.91,11.8625,11.8625,11.864
0.92,11.8595,11.8595,11.861
0.93,11.8564,11.8564,11.858
0.94,11.8533,11.8533,11.8549
0.95,11.8502,11.8502,11.8518
0.96,11.8471,11.8471,11.8486
0.97,11.8439,11.8439,11.8455
0.98,11.8406,11.8406,11.8423
0.99,11.8374,11.8374,11.839
1.0,11.8341,11.8341,11.8357
1.01,11.8308,11.8308,11.8324
1.02,11.8274,11.8274,11.8291
1.03,11.824,11.824,11.8257
1.04,11.8206,11.8206,11.8223
1.05,11.8172,11.8172,11.8189
1.06,11.8137,11.8137,11.8154
1.07,11.8102,11.8102,11.8119
1.08,11.8066,11.8066,11.8084
1.09,11.8031,11.8031,11.8049
1.1,11.7995,11.7995,11.8013
1.11,11.7958,11.7958,11.7976
1.12,11.7921,11.7921,11.794
1.13,11.7884,11.7884,11.7903
1.14,11.7847,11.7847,11.7866
1.15,11.7809,11.7809,11.7828
1.16,11.7771,11.7771,11.779
1.17,11.7733,11.7733,11.7752
1.18,11.7694,11.7694,11.7714
1.19,11.7655,11.7655,11.7675
1.2,11.7616,11.7616,11.7636
1.21,11.7576,11.7576,11.7596
1.22,11.7536,11.7536,11.7556
1.23,11.7496,11.7496,11.7516
1.24,11.7456,11.7456,11.7476
1.25,11.7415,11.7415,11.7435
1.26,11.7373,11.7373,11.7394
1.27,11.7332,11.7332,11.7353
1.28,11.729,11.729,11.7311
1.29,11.7248,11.7248,11.7269
1.3,11.7205,11.7205,11.7227
1.31,11.7162,11.7162,11.7184
1.32,11.7119,11.7119,11.7141
1.33,11.7076,11.7076,11.7098
1.34,11.7032,11.7032,11.7054
1.35,11.6988,11.6988,11.701
1.36,11.6944,11.6944,11.6966
1.37,11.6899,11.6899,11.6921
1.38,11.6854,11.6854,11.6876
1.39,11.6808,11.6808,11.6831
1.4,11.6763,11.6763,11.6786
1.41,11.6717,11.6717,11.674
1.42,11.6671,11.6671,11.6694
1.43,11.6624,11.6624,11.6647
1.44,11.6577,11.6577,11.66
1.45,11.653,11.653,11.6553
1.46,11.6482,11.6482,11.6506
1.47,11.6434,11.6434,11.6458
1.48,11.6386,11.6386,11.641
1.49,11.6338,11.6338,11.6362
1.5,11.6289,11.6289,11.6313
1.51,11.624,11.624,11.6264
1.52,11.619,11.619,11.6215
1.53,11.6141,11.6141,11.6165
1.54,11.609,11.609,11.6115
1.55,11.604,11.604,11.6065
1.56,11.5989,11.5989,11.6015
