dt,WRv
0,0
0.01,-0.00333333
0.02,-0.00666664
0.03,-0.00999991
0.04,-0.0133331
0.05,-0.0166663
0.06,-0.0199993
0.07,-0.0233323
0.08,-0.0266651
0.09,-0.0299977
0.1,-0.0333302
0.11,-0.0366625
0.12,-0.0399946
0.13,-0.0433265
0.14,-0.0466582
0.15,-0.0499896
0.16,-0.0533207
0.17,-0.0566515
0.18,-0.059982
0.19,-0.0633121
0.2,-0.0666419
0.21,-0.0699714
0.22,-0.0733004
0.23,-0.0766291
0.24,-0.0799573
0.25,-0.0832851
0.26,-0.0866124
0.27,-0.0899392
0.28,-0.0932656
0.29,-0.0965914
0.3,-0.0999167
0.31,-0.103241
0.32,-0.106566
0.33,-0.109889
0.34,-0.113212
0.35,-0.116534
0.36,-0.119856
0.37,-0.123177
0.38,-0.126497
0.39,-0.129817
0.4,-0.133136
0.41,-0.136454
0.42,-0.139771
0.43,-0.143088
0.44,-0.146404
0.45,-0.149719
0.46,-0.153033
0.47,-0.156346
0.48,-0.159659
0.49,-0.162971
0.5,-0.166281
0.51,-0.169591
0.52,-0.1729
0.53,-0.176208
0.54,-0.179515
0.55,-0.18282
0.56,-0.186125
0.57,-0.189429
0.58,-0.192732
0.59,-0.196034
0.6,-0.199334
0.61,-0.202634
0.62,-0.205932
0.63,-0.209229
0.64,-0.212526
0.65,-0.21582
0.66,-0.219114
0.67,-0.222407
0.68,-0.225698
0.69,-0.228988
0.7,-0.232277
0.71,-0.235564
0.72,-0.23885
0.73,-0.242135
0.74,-0.245419
0.75,-0.248701
0.76,-0.251982
0.77,-0.255261
0.78,-0.258539
0.79,-0.261815
0.8,-0.265091
0.81,-0.268364
0.82,-0.271636
0.83,-0.274907
0.84,-0.278176
0.85,-0.281443
0.86,-0.284709
0.87,-0.287974
0.88,-0.291237
0.89,-0.294498
0.9,-0.297757
0.91,-0.301015
0.92,-0.304272
0.93,-0.307526
0.94,-0.310779
0.95,-0.31403
0.96,-0.31728
0.97,-0.320527
0.98,-0.323773
0.99,-0.327017
1,-0.33026
1.01,-0.3335
1.02,-0.336739
1.03,-0.339975
1.04,-0.34321
1.05,-0.346443
1.06,-0.349674
1.07,-0.352904
1.08,-0.356131
1.09,-0.359356
1.1,-0.362579
1.11,-0.3658
1.12,-0.36902
1.13,-0.372237
1.14,-0.375452
1.15,-0.378665
1.16,-0.381876
1.17,-0.385085
1.18,-0.388291
1.19,-0.391496
1.2,-0.394698
1.21,-0.397899
1.22,-0.401097
1.23,-0.404292
1.24,-0.407486
1.25,-0.410677
1.26,-0.413867
1.27,-0.417053
1.28,-0.420238
1.29,-0.42342
1.3,-0.4266
1.31,-0.429777
1.32,-0.432952
1.33,-0.436125
1.34,-0.439296
1.35,-0.442463
1.36,-0.445629
1.37,-0.448792
1.38,-0.451953
1.39,-0.455111
1.4,-0.458266
1.41,-0.461419
1.42,-0.46457
1.43,-0.467718
1.44,-0.470863
1.45,-0.474006
1.46,-0.477146
1.47,-0.480284
1.48,-0.483418
1.49,-0.486551
1.5,-0.48968
1.51,-0.492807
1.52,-0.495931
1.53,-0.499053
1.54,-0.502172
1.55,-0.505287
1.56,-0.508401
1.57,-0.511511
1.58,-0.514619
1.59,-0.517723
1.6,-0.520825
1.61,-0.523924
1.62,-0.52702
1.63,-0.530114
1.64,-0.533204
1.65,-0.536292
1.66,-0.539376
1.67,-0.542458
1.68,-0.545536
1.69,-0.548612
1.7,-0.551684
1.71,-0.554754
1.72,-0.55782
1.73,-0.560884
1.74,-0.563944
1.75,-0.567001
1.76,-0.570056
1.77,-0.573107
1.78,-0.576155
1.79,-0.579199
1.8,-0.582241
1.81,-0.585279
1.82,-0.588315
1.83,-0.591347
1.84,-0.594375
1.85,-0.597401
1.86,-0.600423
1.87,-0.603442
1.88,-0.606458
1.89,-0.60947
1.9,-0.612479
1.91,-0.615485
1.92,-0.618487
1.93,-0.621486
1.94,-0.624482
1.95,-0.627474
1.96,-0.630463
1.97,-0.633448
1.98,-0.63643
1.99,-0.639408
2,-0.642383
2.01,-0.645354
2.02,-0.648322
2.03,-0.651287
2.04,-0.654247
2.05,-0.657204
2.06,-0.660158
2.07,-0.663108
2.08,-0.666055
2.09,-0.668997
2.1,-0.671937
2.11,-0.674872
2.12,-0.677804
2.13,-0.680732
2.14,-0.683656
2.15,-0.686577
2.16,-0.689494
2.17,-0.692407
2.18,-0.695317
2.19,-0.698223
2.2,-0.701125
2.21,-0.704023
2.22,-0.706917
2.23,-0.709807
2.24,-0.712694
2.25,-0.715577
2.26,-0.718456
2.27,-0.721331
2.28,-0.724202
2.29,-0.727069
2.3,-0.729932
2.31,-0.732791
2.32,-0.735647
2.33,-0.738498
2.34,-0.741345
2.35,-0.744188
2.36,-0.747028
2.37,-0.749863
2.38,-0.752694
2.39,-0.755521
2.4,-0.758344
2.41,-0.761163
2.42,-0.763978
2.43,-0.766789
2.44,-0.769595
2.45,-0.772397
2.46,-0.775196
2.47,-0.77799
2.48,-0.780779
2.49,-0.783565
2.5,-0.786346
2.51,-0.789124
2.52,-0.791896
2.53,-0.794665
2.54,-0.797429
2.55,-0.800189
2.56,-0.802945
2.57,-0.805697
2.58,-0.808444
2.59,-0.811186
2.6,-0.813925
2.61,-0.816659
2.62,-0.819388
2.63,-0.822114
2.64,-0.824834
2.65,-0.827551
2.66,-0.830263
2.67,-0.83297
2.68,-0.835673
2.69,-0.838372
2.7,-0.841066
2.71,-0.843755
2.72,-0.84644
2.73,-0.84912
2.74,-0.851796
2.75,-0.854468
2.76,-0.857134
2.77,-0.859797
2.78,-0.862454
2.79,-0.865107
2.8,-0.867755
2.81,-0.870399
2.82,-0.873038
2.83,-0.875672
2.84,-0.878302
2.85,-0.880927
2.86,-0.883547
2.87,-0.886163
2.88,-0.888774
2.89,-0.89138
2.9,-0.893981
2.91,-0.896578
2.92,-0.899169
2.93,-0.901756
2.94,-0.904339
2.95,-0.906916
2.96,-0.909488
2.97,-0.912056
2.98,-0.914619
2.99,-0.917177
3,-0.91973
3.01,-0.922278
3.02,-0.924822
3.03,-0.92736
3.04,-0.929893
3.05,-0.932422
3.06,-0.934946
3.07,-0.937464
3.08,-0.939978
3.09,-0.942487
3.1,-0.94499
3.11,-0.947489
3.12,-0.949983
3.13,-0.952471
3.14,-0.954955
3.15,-0.957433
3.16,-0.959907
3.17,-0.962375
3.18,-0.964838
3.19,-0.967297
3.2,-0.96975
3.21,-0.972198
3.22,-0.97464
3.23,-0.977078
3.24,-0.979511
3.25,-0.981938
3.26,-0.98436
3.27,-0.986777
3.28,-0.989189
3.29,-0.991595
3.3,-0.993997
3.31,-0.996393
3.32,-0.998784
3.33,-1.00117
3.34,-1.00355
3.35,-1.00592
3.36,-1.00829
3.37,-1.01066
3.38,-1.01302
3.39,-1.01537
3.4,-1.01772
3.41,-1.02006
3.42,-1.0224
3.43,-1.02473
3.44,-1.02706
3.45,-1.02938
3.46,-1.0317
3.47,-1.03401
3.48,-1.03632
3.49,-1.03862
3.5,-1.04091
3.51,-1.0432
