dt,U_vN
0,0
0.01,-0.00166666
0.02,-0.00499998
0.03,-0.00833328
0.04,-0.0116665
0.05,-0.0149997
0.06,-0.0183328
0.07,-0.0216658
0.08,-0.0249987
0.09,-0.0283314
0.1,-0.031664
0.11,-0.0349964
0.12,-0.0383286
0.13,-0.0416606
0.14,-0.0449924
0.15,-0.0483239
0.16,-0.0516551
0.17,-0.0549861
0.18,-0.0583167
0.19,-0.0616471
0.2,-0.064977
0.21,-0.0683067
0.22,-0.0716359
0.23,-0.0749648
0.24,-0.0782932
0.25,-0.0816212
0.26,-0.0849487
0.27,-0.0882758
0.28,-0.0916024
0.29,-0.0949285
0.3,-0.098254
0.31,-0.101579
0.32,-0.104903
0.33,-0.108227
0.34,-0.111551
0.35,-0.114873
0.36,-0.118195
0.37,-0.121517
0.38,-0.124837
0.39,-0.128157
0.4,-0.131476
0.41,-0.134795
0.42,-0.138113
0.43,-0.14143
0.44,-0.144746
0.45,-0.148061
0.46,-0.151376
0.47,-0.15469
0.48,-0.158003
0.49,-0.161315
0.5,-0.164626
0.51,-0.167936
0.52,-0.171245
0.53,-0.174554
0.54,-0.177861
0.55,-0.181167
0.56,-0.184473
0.57,-0.187777
0.58,-0.19108
0.59,-0.194383
0.6,-0.197684
0.61,-0.200984
0.62,-0.204283
0.63,-0.207581
0.64,-0.210877
0.65,-0.214173
0.66,-0.217467
0.67,-0.22076
0.68,-0.224052
0.69,-0.227343
0.7,-0.230632
0.71,-0.23392
0.72,-0.237207
0.73,-0.240493
0.74,-0.243777
0.75,-0.24706
0.76,-0.250341
0.77,-0.253621
0.78,-0.2569
0.79,-0.260177
0.8,-0.263453
0.81,-0.266727
0.82,-0.27
0.83,-0.273272
0.84,-0.276541
0.85,-0.27981
0.86,-0.283076
0.87,-0.286342
0.88,-0.289605
0.89,-0.292867
0.9,-0.296128
0.91,-0.299386
0.92,-0.302644
0.93,-0.305899
0.94,-0.309153
0.95,-0.312405
0.96,-0.315655
0.97,-0.318903
0.98,-0.32215
0.99,-0.325395
1,-0.328638
1.01,-0.33188
1.02,-0.335119
1.03,-0.338357
1.04,-0.341593
1.05,-0.344827
1.06,-0.348059
1.07,-0.351289
1.08,-0.354517
1.09,-0.357743
1.1,-0.360968
1.11,-0.36419
1.12,-0.36741
1.13,-0.370628
1.14,-0.373844
1.15,-0.377058
1.16,-0.38027
1.17,-0.38348
1.18,-0.386688
1.19,-0.389894
1.2,-0.393097
1.21,-0.396299
1.22,-0.399498
1.23,-0.402695
1.24,-0.405889
1.25,-0.409082
1.26,-0.412272
1.27,-0.41546
1.28,-0.418646
1.29,-0.421829
1.3,-0.42501
1.31,-0.428189
1.32,-0.431365
1.33,-0.434539
1.34,-0.43771
1.35,-0.44088
1.36,-0.444046
1.37,-0.44721
1.38,-0.450372
1.39,-0.453532
1.4,-0.456688
1.41,-0.459843
1.42,-0.462994
1.43,-0.466144
1.44,-0.46929
1.45,-0.472434
1.46,-0.475576
1.47,-0.478715
1.48,-0.481851
1.49,-0.484985
1.5,-0.488116
1.51,-0.491244
1.52,-0.494369
1.53,-0.497492
