dt,WRv_x,WRv_y,U_vN
0.0,0.0,0.0,0.0
0.01,-0.00333333,-0.00333333,-0.00166666
0.02,-0.00666664,-0.00666664,-0.00499998
0.03,-0.00999991,-0.00999991,-0.00833328
0.04,-0.0133331,-0.0133331,-0.0116665
0.05,-0.0166663,-0.0166663,-0.0149997
0.06,-0.0199993,-0.0199993,-0.0183328
0.07,-0.0233323,-0.0233323,-0.0216658
0.08,-0.0266651,-0.0266651,-0.0249987
0.09,-0.0299977,-0.0299977,-0.0283314
0.1,-0.0333302,-0.0333302,-0.031664
0.11,-0.0366625,-0.0366625,-0.0349964
0.12,-0.0399946,-0.0399946,-0.0383286
0.13,-0.0433265,-0.0433265,-0.0416606
0.14,-0.0466582,-0.0466582,-0.0449924
0.15,-0.0499896,-0.0499896,-0.0483239
0.16,-0.0533207,-0.0533207,-0.0516551
0.17,-0.0566515,-0.0566515,-0.0549861
0.18,-0.059982,-0.059982,-0.0583167
0.19,-0.0633121,-0.0633121,-0.0616471
0.2,-0.0666419,-0.0666419,-0.064977
0.21,-0.0699714,-0.0699714,-0.0683067
0.22,-0.0733004,-0.0733004,-0.0716359
0.23,-0.0766291,-0.0766291,-0.0749648
0.24,-0.0799573,-0.0799573,-0.0782932
0.25,-0.0832851,-0.0832851,-0.0816212
0.26,-0.0866124,-0.0866124,-0.0849487
0.27,-0.0899392,-0.0899392,-0.0882758
0.28,-0.0932656,-0.0932656,-0.0916024
0.29,-0.0965914,-0.0965914,-0.0949285
0.3,-0.0999167,-0.0999167,-0.098254
0.31,-0.103241,-0.103241,-0.101579
0.32,-0.106566,-0.106566,-0.104903
0.33,-0.109889,-0.109889,-0.108227
0.34,-0.113212,-0.113212,-0.111551
0.35,-0.116534,-0.116534,-0.114873
0.36,-0.119856,-0.119856,-0.118195
0.37,-0.123177,-0.123177,-0.121517
0.38,-0.126497,-0.126497,-0.124837
0.39,-0.129817,-0.129817,-0.128157
0.4,-0.133136,-0.133136,-0.131476
0.41,-0.136454,-0.136454,-0.134795
0.42,-0.139771,-0.139771,-0.138113
0.43,-0.143088,-0.143088,-0.14143
0.44,-0.146404,-0.146404,-0.144746
0.45,-0.149719,-0.149719,-0.148061
0.46,-0.153033,-0.153033,-0.151376
0.47,-0.156346,-0.156346,-0.15469
0.48,-0.159659,-0.159659,-0.158003
0.49,-0.162971,-0.162971,-0.161315
0.5,-0.166281,-0.166281,-0.164626
0.51,-0.169591,-0.169591,-0.167936
0.52,-0.1729,-0.1729,-0.171245
0.53,-0.176208,-0.176208,-0.174554
0.54,-0.179515,-0.179515,-0.177861
0.55,-0.18282,-0.18282,-0.181167
0.56,-0.186125,-0.186125,-0.184473
0.57,-0.189429,-0.189429,-0.187777
0.58,-0.192732,-0.192732,-0.19108
0.59,-0.196034,-0.196034,-0.194383
0.6,-0.199334,-0.199334,-0.197684
0.61,-0.202634,-0.202634,-0.200984
0.62,-0.205932,-0.205932,-0.204283
0.63,-0.209229,-0.209229,-0.207581
0.64,-0.212526,-0.212526,-0.210877
