dt,WR
0,0
0.01,-0.00039517
0.02,-0.00157895
0.03,-0.00354613
0.04,-0.00628811
0.05,-0.00979285
0.06,-0.014045
0.07,-0.019026
0.08,-0.0247141
0.09,-0.0310845
0.1,-0.0381095
0.11,-0.0457586
0.12,-0.0539987
0.13,-0.0627944
0.14,-0.0721077
0.15,-0.0818989
0.16,-0.0921261
0.17,-0.102746
0.18,-0.113714
0.19,-0.124983
0.2,-0.136507
0.21,-0.148237
0.22,-0.160126
0.23,-0.172125
0.24,-0.184185
0.25,-0.196257
0.26,-0.208294
0.27,-0.220248
0.28,-0.232073
0.29,-0.243723
0.3,-0.255153
0.31,-0.266322
0.32,-0.277189
0.33,-0.287714
0.34,-0.29786
0.35,-0.307593
0.36,-0.31688
0.37,-0.325692
0.38,-0.334
0.39,-0.341781
0.4,-0.349013
0.41,-0.355676
0.42,-0.361755
0.43,-0.367236
0.44,-0.37211
0.45,-0.376369
0.46,-0.380009
0.47,-0.383028
0.48,-0.38543
0.49,-0.387217
0.5,-0.388397
0.51,-0.38898
0.52,-0.388979
0.53,-0.388408
0.54,-0.387285
0.55,-0.385629
0.56,-0.383461
0.57,-0.380806
0.58,-0.377687
0.59,-0.374131
0.6,-0.370167
0.61,-0.365824
0.62,-0.361131
0.63,-0.35612
0.64,-0.350822
0.65,-0.345268
0.66,-0.339492
0.67,-0.333524
0.68,-0.327398
0.69,-0.321144
0.7,-0.314793
0.71,-0.308377
0.72,-0.301924
0.73,-0.295462
0.74,-0.28902
0.75,-0.282622
0.76,-0.276293
0.77,-0.270056
0.78,-0.263932
0.79,-0.25794
0.8,-0.252098
0.81,-0.24642
0.82,-0.240921
0.83,-0.235612
0.84,-0.230501
0.85,-0.225596
0.86,-0.220902
0.87,-0.216422
0.88,-0.212155
0.89,-0.208102
0.9,-0.204258
0.91,-0.200617
0.92,-0.197173
0.93,-0.193916
0.94,-0.190835
0.95,-0.187917
0.96,-0.185149
0.97,-0.182513
0.98,-0.179994
0.99,-0.177573
1,-0.17523
1.01,-0.172944
1.02,-0.170696
1.03,-0.168463
1.04,-0.166222
1.05,-0.16395
1.06,-0.161625
1.07,-0.159224
1.08,-0.156723
1.09,-0.154099
1.1,-0.15133
1.11,-0.148394
1.12,-0.145269
1.13,-0.141934
1.14,-0.138369
1.15,-0.134556
1.16,-0.130475
1.17,-0.12611
1.18,-0.121446
1.19,-0.116468
1.2,-0.111163
1.21,-0.105519
1.22,-0.0995268
1.23,-0.0931774
1.24,-0.0864639
1.25,-0.0793811
1.26,-0.0719251
1.27,-0.064094
1.28,-0.0558873
1.29,-0.0473061
1.3,-0.0383533
1.31,-0.0290332
1.32,-0.0193517
1.33,-0.00931628
1.34,0.00106428
1.35,0.0117797
1.36,0.0228183
1.37,0.0341673
1.38,0.0458126
1.39,0.057739
1.4,0.0699302
1.41,0.082369
1.42,0.0950374
1.43,0.107917
1.44,0.120987
1.45,0.134228
1.46,0.147619
1.47,0.16114
1.48,0.174768
1.49,0.188482
1.5,0.202261
1.51,0.216081
1.52,0.229922
1.53,0.243761
1.54,0.257577
1.55,0.271349
1.56,0.285055
1.57,0.298674
1.58,0.312187
1.59,0.325573
1.6,0.338813
