dt,U_dN
0,12
0.01,11.9993
0.02,11.9974
0.03,11.9941
0.04,11.9895
0.05,11.9836
0.06,11.9764
0.07,11.9679
0.08,11.9581
0.09,11.947
0.1,11.9347
0.11,11.9212
0.12,11.9064
0.13,11.8904
0.14,11.8733
0.15,11.8549
0.16,11.8354
0.17,11.8148
0.18,11.7931
0.19,11.7703
0.2,11.7464
0.21,11.7215
0.22,11.6956
0.23,11.6687
0.24,11.6409
0.25,11.6122
0.26,11.5825
0.27,11.552
0.28,11.5206
0.29,11.4885
0.3,11.4556
0.31,11.4219
0.32,11.3875
0.33,11.3524
0.34,11.3167
0.35,11.2804
0.36,11.2434
0.37,11.2059
0.38,11.1679
0.39,11.1293
0.4,11.0903
0.41,11.0509
0.42,11.011
0.43,10.9708
0.44,10.9302
0.45,10.8892
0.46,10.8479
0.47,10.8064
0.48,10.7646
0.49,10.7226
0.5,10.6804
0.51,10.638
0.52,10.5954
0.53,10.5527
0.54,10.5099
0.55,10.467
0.56,10.424
0.57,10.381
0.58,10.3379
0.59,10.2948
0.6,10.2518
0.61,10.2087
0.62,10.1657
0.63,10.1227
0.64,10.0798
0.65,10.037
0.66,9.99426
0.67,9.95165
0.68,9.90916
0.69,9.86681
0.7,9.82461
0.71,9.78258
0.72,9.74071
0.73,9.69904
0.74,9.65756
0.75,9.61628
0.76,9.57523
0.77,9.5344
0.78,9.4938
0.79,9.45345
0.8,9.41336
0.81,9.37353
0.82,9.33397
0.83,9.29469
0.84,9.25569
0.85,9.21699
0.86,9.1786
0.87,9.1405
0.88,9.10273
0.89,9.06527
0.9,9.02815
0.91,8.99135
0.92,8.95489
0.93,8.91878
0.94,8.88301
0.95,8.8476
0.96,8.81254
0.97,8.77784
0.98,8.7435
0.99,8.70953
1,8.67593
1.01,8.6427
1.02,8.60984
1.03,8.57735
1.04,8.54524
1.05,8.5135
1.06,8.48214
1.07,8.45115
1.08,8.42053
1.09,8.39028
1.1,8.3604
1.11,8.33089
1.12,8.30173
1.13,8.27294
1.14,8.2445
1.15,8.21641
1.16,8.18866
1.17,8.16124
1.18,8.13416
1.19,8.1074
1.2,8.08096
1.21,8.05482
1.22,8.02898
1.23,8.00343
1.24,7.97816
1.25,7.95315
1.26,7.92841
1.27,7.90391
1.28,7.87964
1.29,7.8556
1.3,7.83176
1.31,7.80813
1.32,7.78468
1.33,7.76139
1.34,7.73827
1.35,7.71528
1.36,7.69243
1.37,7.66969
1.38,7.64704
1.39,7.62448
1.4,7.60199
1.41,7.57956
1.42,7.55716
1.43,7.53479
1.44,7.51243
1.45,7.49007
1.46,7.46768
1.47,7.44526
1.48,7.42279
1.49,7.40026
1.5,7.37765
1.51,7.35495
1.52,7.33215
1.53,7.30923
1.54,7.28618
1.55,7.26299
1.56,7.23964
1.57,7.21613
1.58,7.19244
1.59,7.16857
1.6,7.1445
1.61,7.12023
1.62,7.09574
1.63,7.07102
1.64,7.04607
1.65,7.02089
1.66,6.99545
1.67,6.96977
1.68,6.94383
1.69,6.91762
1.7,6.89115
1.71,6.8644
1.72,6.83738
1.73,6.81009
1.74,6.78251
1.75,6.75465
1.76,6.72651
1.77,6.69809
1.78,6.66938
1.79,6.6404
1.8,6.61113
1.81,6.58159
1.82,6.55176
1.83,6.52167
1.84,6.49131
1.85,6.46068
1.86,6.42979
1.87,6.39865
1.88,6.36726
1.89,6.33562
1.9,6.30374
1.91,6.27164
1.92,6.23931
1.93,6.20676
1.94,6.17401
1.95,6.14106
1.96,6.10791
1.97,6.07459
1.98,6.04109
1.99,6.00744
2,5.97363
2.01,5.93967
2.02,5.90559
2.03,5.87139
2.04,5.83708
2.05,5.80267
2.06,5.76818
2.07,5.73361
2.08,5.69898
2.09,5.6643
2.1,5.62958
2.11,5.59483
2.12,5.56008
2.13,5.52532
2.14,5.49057
2.15,5.45585
2.16,5.42116
2.17,5.38653
2.18,5.35195
2.19,5.31745
2.2,5.28304
2.21,5.24872
2.22,5.21451
2.23,5.18043
2.24,5.14648
2.25,5.11267
2.26,5.07903
2.27,5.04555
2.28,5.01225
2.29,4.97914
2.3,4.94622
2.31,4.91352
2.32,4.88104
2.33,4.84878
2.34,4.81676
2.35,4.78499
2.36,4.75347
2.37,4.72221
2.38,4.69122
2.39,4.6605
2.4,4.63006
2.41,4.5999
2.42,4.57003
2.43,4.54046
2.44,4.51119
2.45,4.48221
2.46,4.45354
2.47,4.42517
2.48,4.39711
2.49,4.36936
2.5,4.34192
2.51,4.31478
2.52,4.28794
2.53,4.26141
2.54,4.23518
2.55,4.20925
2.56,4.18361
2.57,4.15826
2.58,4.1332
2.59,4.10842
2.6,4.08392
2.61,4.05968
2.62,4.0357
2.63,4.01198
2.64,3.9885
2.65,3.96526
2.66,3.94225
2.67,3.91946
2.68,3.89688
2.69,3.87451
2.7,3.85232
2.71,3.83031
2.72,3.80848
2.73,3.7868
2.74,3.76528
2.75,3.74389
2.76,3.72262
2.77,3.70148
