dt,U_dN
0,12
0.01,11.9993
0.02,11.998
0.03,11.996
0.04,11.9934
0.05,11.9901
0.06,11.9861
0.07,11.9815
0.08,11.9762
0.09,11.9703
0.1,11.9637
0.11,11.9565
0.12,11.9487
0.13,11.9402
0.14,11.931
0.15,11.9212
0.16,11.9108
0.17,11.8998
0.18,11.8882
0.19,11.8759
0.2,11.8631
0.21,11.8496
0.22,11.8355
0.23,11.8209
0.24,11.8057
0.25,11.7899
0.26,11.7735
0.27,11.7565
0.28,11.739
0.29,11.721
0.3,11.7024
0.31,11.6833
0.32,11.6636
0.33,11.6435
0.34,11.6228
0.35,11.6017
0.36,11.58
0.37,11.5579
0.38,11.5353
0.39,11.5123
0.4,11.4888
0.41,11.4648
0.42,11.4405
0.43,11.4157
0.44,11.3905
0.45,11.3649
0.46,11.3389
0.47,11.3126
0.48,11.2859
0.49,11.2588
0.5,11.2314
0.51,11.2037
0.52,11.1757
0.53,11.1473
0.54,11.1187
0.55,11.0897
0.56,11.0606
0.57,11.0311
0.58,11.0014
0.59,10.9715
0.6,10.9414
0.61,10.911
0.62,10.8805
0.63,10.8498
0.64,10.8189
0.65,10.7878
0.66,10.7567
0.67,10.7253
0.68,10.6939
0.69,10.6624
0.7,10.6307
0.71,10.599
0.72,10.5672
0.73,10.5354
0.74,10.5035
0.75,10.4716
0.76,10.4396
0.77,10.4077
0.78,10.3757
0.79,10.3438
0.8,10.3119
0.81,10.28
0.82,10.2482
0.83,10.2165
0.84,10.1848
0.85,10.1532
0.86,10.1217
0.87,10.0903
0.88,10.059
0.89,10.0279
0.9,9.99689
0.91,9.96603
0.92,9.93532
0.93,9.90478
0.94,9.87442
0.95,9.84424
0.96,9.81426
0.97,9.78448
0.98,9.75491
0.99,9.72555
1,9.69643
1.01,9.66754
1.02,9.63889
1.03,9.61049
1.04,9.58235
1.05,9.55447
1.06,9.52686
1.07,9.49952
1.08,9.47246
1.09,9.44569
1.1,9.41921
1.11,9.39303
1.12,9.36715
1.13,9.34157
1.14,9.3163
1.15,9.29134
1.16,9.26669
1.17,9.24236
1.18,9.21836
1.19,9.19468
1.2,9.17132
1.21,9.14829
1.22,9.12558
1.23,9.10321
1.24,9.08116
1.25,9.05944
1.26,9.03806
1.27,9.017
1.28,8.99627
1.29,8.97587
1.3,8.9558
1.31,8.93605
1.32,8.91662
1.33,8.89752
1.34,8.87874
1.35,8.86027
1.36,8.84211
1.37,8.82427
1.38,8.80673
1.39,8.78949
1.4,8.77255
1.41,8.75591
1.42,8.73955
1.43,8.72348
1.44,8.70769
1.45,8.69217
1.46,8.67692
1.47,8.66193
1.48,8.6472
1.49,8.63271
1.5,8.61847
1.51,8.60447
1.52,8.59069
1.53,8.57714
1.54,8.5638
1.55,8.55066
1.56,8.53773
1.57,8.52499
1.58,8.51243
1.59,8.50005
1.6,8.48783
1.61,8.47578
1.62,8.46387
1.63,8.45211
1.64,8.44047
1.65,8.42897
1.66,8.41757
1.67,8.40629
1.68,8.3951
1.69,8.384
1.7,8.37297
1.71,8.36202
1.72,8.35113
1.73,8.34029
1.74,8.32949
1.75,8.31872
1.76,8.30798
1.77,8.29725
1.78,8.28653
1.79,8.2758
1.8,8.26506
1.81,8.2543
1.82,8.24351
1.83,8.23268
1.84,8.22179
1.85,8.21085
1.86,8.19985
1.87,8.18877
1.88,8.1776
1.89,8.16634
1.9,8.15499
1.91,8.14352
1.92,8.13194
1.93,8.12023
1.94,8.10839
1.95,8.09641
1.96,8.08429
1.97,8.07201
1.98,8.05957
1.99,8.04696
2,8.03417
2.01,8.0212
2.02,8.00805
2.03,7.9947
2.04,7.98115
2.05,7.96739
2.06,7.95342
2.07,7.93924
2.08,7.92483
2.09,7.91019
2.1,7.89532
2.11,7.88021
2.12,7.86487
2.13,7.84927
2.14,7.83343
2.15,7.81734
2.16,7.80098
2.17,7.78437
2.18,7.7675
2.19,7.75036
2.2,7.73295
2.21,7.71527
2.22,7.69732
2.23,7.67909
2.24,7.66059
2.25,7.64181
2.26,7.62275
2.27,7.60341
2.28,7.58379
2.29,7.56389
2.3,7.54371
2.31,7.52325
2.32,7.5025
2.33,7.48147
2.34,7.46017
2.35,7.43858
2.36,7.41672
2.37,7.39457
2.38,7.37215
2.39,7.34946
2.4,7.32649
2.41,7.30325
2.42,7.27974
2.43,7.25597
2.44,7.23193
2.45,7.20763
2.46,7.18307
2.47,7.15826
2.48,7.13319
2.49,7.10787
2.5,7.08231
2.51,7.0565
2.52,7.03046
2.53,7.00418
2.54,6.97768
2.55,6.95094
2.56,6.92399
2.57,6.89682
2.58,6.86943
2.59,6.84184
2.6,6.81404
2.61,6.78604
2.62,6.75786
2.63,6.72948
2.64,6.70092
2.65,6.67219
2.66,6.64328
2.67,6.6142
2.68,6.58497
2.69,6.55557
2.7,6.52603
2.71,6.49635
2.72,6.46652
2.73,6.43657
2.74,6.40649
2.75,6.37629
2.76,6.34597
2.77,6.31554
2.78,6.28502
