dt,WR
0,12
0.01,11.9993
0.02,11.9974
0.03,11.9941
0.04,11.9895
0.05,11.9835
0.06,11.9763
0.07,11.9678
0.08,11.958
0.09,11.9469
0.1,11.9346
0.11,11.9209
0.12,11.9061
0.13,11.89
0.14,11.8726
0.15,11.8541
0.16,11.8344
0.17,11.8135
0.18,11.7914
0.19,11.7682
0.2,11.7439
0.21,11.7185
0.22,11.6921
0.23,11.6645
0.24,11.636
0.25,11.6065
0.26,11.5759
0.27,11.5445
0.28,11.5121
0.29,11.4788
0.3,11.4447
0.31,11.4097
0.32,11.3739
0.33,11.3373
0.34,11.3001
0.35,11.262
0.36,11.2234
0.37,11.184
0.38,11.1441
0.39,11.1035
0.4,11.0625
0.41,11.0209
0.42,10.9788
0.43,10.9363
0.44,10.8934
0.45,10.8501
0.46,10.8065
0.47,10.7626
0.48,10.7184
0.49,10.674
0.5,10.6294
0.51,10.5846
0.52,10.5398
0.53,10.4948
0.54,10.4497
0.55,10.4047
0.56,10.3596
0.57,10.3146
0.58,10.2696
0.59,10.2248
0.6,10.1801
0.61,10.1356
0.62,10.0913
0.63,10.0472
0.64,10.0034
0.65,9.95986
0.66,9.91664
0.67,9.87376
0.68,9.83126
0.69,9.78914
0.7,9.74744
0.71,9.70619
0.72,9.66539
0.73,9.62508
0.74,9.58527
0.75,9.54598
0.76,9.50722
0.77,9.46903
0.78,9.4314
0.79,9.39436
0.8,9.35791
0.81,9.32208
0.82,9.28686
0.83,9.25227
0.84,9.21832
0.85,9.185
0.86,9.15234
0.87,9.12033
0.88,9.08897
0.89,9.05827
0.9,9.02822
0.91,8.99883
0.92,8.97009
0.93,8.942
0.94,8.91456
0.95,8.88776
0.96,8.86158
0.97,8.83603
0.98,8.8111
0.99,8.78677
1,8.76303
1.01,8.73986
1.02,8.71727
1.03,8.69522
1.04,8.67371
1.05,8.65272
1.06,8.63223
1.07,8.61223
1.08,8.59268
1.09,8.57358
1.1,8.55491
1.11,8.53663
1.12,8.51873
1.13,8.50119
1.14,8.48399
1.15,8.46709
1.16,8.45049
1.17,8.43414
1.18,8.41803
1.19,8.40213
1.2,8.38642
1.21,8.37087
1.22,8.35545
1.23,8.34014
1.24,8.32492
1.25,8.30975
1.26,8.29462
1.27,8.27949
1.28,8.26434
1.29,8.24914
1.3,8.23388
1.31,8.21852
1.32,8.20304
1.33,8.18741
1.34,8.17161
1.35,8.15563
1.36,8.13943
1.37,8.12299
1.38,8.10629
1.39,8.08931
1.4,8.07203
1.41,8.05442
1.42,8.03648
1.43,8.01817
1.44,7.99949
1.45,7.98042
1.46,7.96093
1.47,7.94101
1.48,7.92066
1.49,7.89985
1.5,7.87857
1.51,7.8568
1.52,7.83455
1.53,7.81179
1.54,7.78852
1.55,7.76473
1.56,7.74041
1.57,7.71555
1.58,7.69015
1.59,7.6642
1.6,7.6377
1.61,7.61064
1.62,7.58303
1.63,7.55486
1.64,7.52613
1.65,7.49683
1.66,7.46698
1.67,7.43657
1.68,7.40561
1.69,7.37409
1.7,7.34203
1.71,7.30942
1.72,7.27628
1.73,7.24261
1.74,7.20842
1.75,7.17371
1.76,7.13849
1.77,7.10278
1.78,7.06658
1.79,7.0299
1.8,6.99276
1.81,6.95516
1.82,6.91712
1.83,6.87865
1.84,6.83976
1.85,6.80047
1.86,6.76079
1.87,6.72073
1.88,6.68031
1.89,6.63955
1.9,6.59846
1.91,6.55705
1.92,6.51535
1.93,6.47336
1.94,6.43111
1.95,6.38861
1.96,6.34587
1.97,6.30292
1.98,6.25978
1.99,6.21645
2,6.17296
2.01,6.12932
2.02,6.08555
2.03,6.04168
2.04,5.99771
2.05,5.95366
2.06,5.90955
2.07,5.86541
2.08,5.82124
2.09,5.77706
2.1,5.73289
2.11,5.68875
2.12,5.64465
2.13,5.60062
2.14,5.55666
2.15,5.51279
2.16,5.46903
2.17,5.4254
2.18,5.38191
2.19,5.33857
2.2,5.2954
2.21,5.25242
2.22,5.20964
2.23,5.16707
2.24,5.12472
2.25,5.08262
2.26,5.04077
2.27,4.99918
2.28,4.95787
2.29,4.91685
2.3,4.87613
2.31,4.83572
2.32,4.79564
2.33,4.75588
2.34,4.71646
2.35,4.6774
2.36,4.63869
2.37,4.60035
2.38,4.56238
2.39,4.52479
2.4,4.48758
2.41,4.45077
2.42,4.41436
2.43,4.37835
2.44,4.34275
2.45,4.30755
2.46,4.27277
2.47,4.23841
2.48,4.20446
2.49,4.17094
2.5,4.13783
2.51,4.10514
2.52,4.07287
2.53,4.04102
2.54,4.00959
2.55,3.97857
2.56,3.94797
2.57,3.91777
2.58,3.88798
2.59,3.85859
2.6,3.8296
2.61,3.80099
2.62,3.77277
2.63,3.74492
2.64,3.71745
2.65,3.69034
2.66,3.66358
2.67,3.63716
2.68,3.61109
2.69,3.58534
2.7,3.5599
2.71,3.53477
2.72,3.50994
2.73,3.48539
2.74,3.46111
2.75,3.43709
2.76,3.41332
2.77,3.38978
