dt,WR
0,12
0.01,11.9993
0.02,11.9974
0.03,11.9941
0.04,11.9895
0.05,11.9836
0.06,11.9764
0.07,11.9679
0.08,11.9581
0.09,11.9471
0.1,11.9349
0.11,11.9214
0.12,11.9067
0.13,11.8908
0.14,11.8737
0.15,11.8556
0.16,11.8363
0.17,11.8159
0.18,11.7944
0.19,11.7719
0.2,11.7485
0.21,11.724
0.22,11.6986
0.23,11.6724
0.24,11.6453
0.25,11.6173
0.26,11.5886
0.27,11.5591
0.28,11.529
0.29,11.4982
0.3,11.4667
0.31,11.4347
0.32,11.4022
0.33,11.3692
0.34,11.3358
0.35,11.302
0.36,11.2678
0.37,11.2334
0.38,11.1987
0.39,11.1638
0.4,11.1288
0.41,11.0937
0.42,11.0586
0.43,11.0234
0.44,10.9883
0.45,10.9533
0.46,10.9185
0.47,10.8839
0.48,10.8495
0.49,10.8154
0.5,10.7817
0.51,10.7483
0.52,10.7154
0.53,10.683
0.54,10.6512
0.55,10.6199
0.56,10.5892
0.57,10.5592
0.58,10.5299
0.59,10.5013
0.6,10.4736
0.61,10.4466
0.62,10.4206
0.63,10.3954
0.64,10.3712
0.65,10.3479
0.66,10.3257
0.67,10.3045
0.68,10.2843
0.69,10.2653
0.7,10.2473
0.71,10.2305
0.72,10.2149
0.73,10.2005
0.74,10.1873
0.75,10.1753
0.76,10.1646
0.77,10.1551
0.78,10.1469
0.79,10.14
0.8,10.1344
0.81,10.1301
0.82,10.1271
0.83,10.1254
0.84,10.125
0.85,10.126
0.86,10.1283
0.87,10.1318
0.88,10.1367
0.89,10.1429
0.9,10.1504
0.91,10.1592
0.92,10.1692
0.93,10.1805
0.94,10.1931
0.95,10.2068
0.96,10.2218
0.97,10.2379
0.98,10.2552
0.99,10.2737
1,10.2932
1.01,10.3139
1.02,10.3355
1.03,10.3583
1.04,10.382
1.05,10.4066
1.06,10.4322
1.07,10.4586
1.08,10.4859
1.09,10.5141
1.1,10.543
1.11,10.5726
1.12,10.6029
1.13,10.6339
1.14,10.6654
1.15,10.6975
1.16,10.7302
1.17,10.7633
1.18,10.7968
1.19,10.8307
1.2,10.8649
1.21,10.8994
1.22,10.9341
1.23,10.969
1.24,11.0041
1.25,11.0392
1.26,11.0743
1.27,11.1095
1.28,11.1446
1.29,11.1795
1.3,11.2143
1.31,11.2489
1.32,11.2832
1.33,11.3172
1.34,11.3508
1.35,11.3841
1.36,11.4169
1.37,11.4492
1.38,11.4809
1.39,11.5121
1.4,11.5426
1.41,11.5725
1.42,11.6016
1.43,11.63
1.44,11.6575
1.45,11.6843
1.46,11.7102
1.47,11.7351
1.48,11.7591
1.49,11.7822
1.5,11.8042
1.51,11.8252
1.52,11.8451
1.53,11.8639
1.54,11.8815
1.55,11.8981
1.56,11.9134
1.57,11.9276
1.58,11.9405
1.59,11.9522
1.6,11.9627
1.61,11.9719
1.62,11.9798
1.63,11.9864
1.64,11.9917
1.65,11.9957
1.66,11.9984
1.67,11.9998
1.68,11.9999
1.69,11.9986
1.7,11.996
1.71,11.9922
1.72,11.987
1.73,11.9805
1.74,11.9727
1.75,11.9637
1.76,11.9533
1.77,11.9418
1.78,11.9289
1.79,11.9149
1.8,11.8997
1.81,11.8833
1.82,11.8657
1.83,11.847
1.84,11.8272
1.85,11.8064
1.86,11.7844
1.87,11.7615
1.88,11.7376
1.89,11.7127
1.9,11.687
1.91,11.6603
1.92,11.6328
1.93,11.6045
1.94,11.5754
1.95,11.5457
1.96,11.5152
1.97,11.4841
1.98,11.4524
1.99,11.4202
2,11.3874
2.01,11.3542
2.02,11.3206
2.03,11.2867
2.04,11.2524
2.05,11.2178
2.06,11.1831
2.07,11.1481
2.08,11.113
2.09,11.0779
2.1,11.0428
2.11,11.0076
2.12,10.9726
2.13,10.9377
2.14,10.9029
2.15,10.8684
2.16,10.8341
2.17,10.8002
2.18,10.7667
2.19,10.7335
2.2,10.7008
2.21,10.6687
2.22,10.637
2.23,10.606
2.24,10.5756
2.25,10.5459
2.26,10.517
2.27,10.4888
2.28,10.4614
2.29,10.4348
2.3,10.4092
2.31,10.3844
2.32,10.3606
2.33,10.3378
2.34,10.316
2.35,10.2953
2.36,10.2756
2.37,10.2571
2.38,10.2396
2.39,10.2234
2.4,10.2083
2.41,10.1944
2.42,10.1818
2.43,10.1703
2.44,10.1602
2.45,10.1513
2.46,10.1436
2.47,10.1373
2.48,10.1323
2.49,10.1286
2.5,10.1262
2.51,10.1251
2.52,10.1253
2.53,10.1268
2.54,10.1297
2.55,10.1339
2.56,10.1394
2.57,10.1461
2.58,10.1542
2.59,10.1636
2.6,10.1742
2.61,10.186
2.62,10.1991
2.63,10.2134
2.64,10.2289
2.65,10.2456
2.66,10.2634
2.67,10.2823
2.68,10.3024
2.69,10.3235
2.7,10.3456
2.71,10.3688
2.72,10.3929
2.73,10.418
2.74,10.444
2.75,10.4708
2.76,10.4985
2.77,10.527
2.78,10.5562
2.79,10.5861
