dt,U_dN
0,12
0.01,11.9993
0.02,11.998
0.03,11.996
0.04,11.9934
0.05,11.9901
0.06,11.9861
0.07,11.9815
0.08,11.9763
0.09,11.9704
0.1,11.9638
0.11,11.9566
0.12,11.9488
0.13,11.9403
0.14,11.9312
0.15,11.9215
0.16,11.9112
0.17,11.9002
0.18,11.8887
0.19,11.8765
0.2,11.8638
0.21,11.8505
0.22,11.8366
0.23,11.8221
0.24,11.8071
0.25,11.7915
0.26,11.7754
0.27,11.7588
0.28,11.7416
0.29,11.7239
0.3,11.7057
0.31,11.687
0.32,11.6679
0.33,11.6482
0.34,11.6281
0.35,11.6075
0.36,11.5865
0.37,11.565
0.38,11.5431
0.39,11.5208
0.4,11.4981
0.41,11.475
0.42,11.4515
0.43,11.4276
0.44,11.4034
0.45,11.3789
0.46,11.3539
0.47,11.3287
0.48,11.3031
0.49,11.2773
0.5,11.2511
0.51,11.2247
0.52,11.1979
0.53,11.171
0.54,11.1437
0.55,11.1162
0.56,11.0885
0.57,11.0606
0.58,11.0324
0.59,11.0041
0.6,10.9755
0.61,10.9468
0.62,10.9179
0.63,10.8888
0.64,10.8596
0.65,10.8303
0.66,10.8008
0.67,10.7711
0.68,10.7414
0.69,10.7116
0.7,10.6816
0.71,10.6516
0.72,10.6215
0.73,10.5913
0.74,10.561
0.75,10.5307
0.76,10.5003
0.77,10.4699
0.78,10.4394
0.79,10.4089
0.8,10.3784
0.81,10.3479
0.82,10.3173
0.83,10.2868
0.84,10.2563
0.85,10.2257
0.86,10.1952
0.87,10.1647
0.88,10.1343
0.89,10.1038
0.9,10.0734
0.91,10.0431
0.92,10.0128
0.93,9.9825
0.94,9.9523
0.95,9.92217
0.96,9.8921
0.97,9.86211
0.98,9.83219
0.99,9.80235
1,9.7726
1.01,9.74293
1.02,9.71336
1.03,9.68389
1.04,9.65451
1.05,9.62524
1.06,9.59608
1.07,9.56703
1.08,9.5381
1.09,9.50928
1.1,9.48058
1.11,9.45201
1.12,9.42357
1.13,9.39526
1.14,9.36708
1.15,9.33904
1.16,9.31114
1.17,9.28338
1.18,9.25577
1.19,9.22831
1.2,9.20099
1.21,9.17383
1.22,9.14682
1.23,9.11997
1.24,9.09329
1.25,9.06676
1.26,9.0404
1.27,9.0142
1.28,8.98817
1.29,8.96231
1.3,8.93663
1.31,8.91111
1.32,8.88577
1.33,8.86061
1.34,8.83563
1.35,8.81083
1.36,8.7862
1.37,8.76176
1.38,8.7375
1.39,8.71343
1.4,8.68954
1.41,8.66584
1.42,8.64232
1.43,8.61899
1.44,8.59585
1.45,8.5729
1.46,8.55013
1.47,8.52755
1.48,8.50516
1.49,8.48296
1.5,8.46094
1.51,8.43912
1.52,8.41748
1.53,8.39602
1.54,8.37475
1.55,8.35367
1.56,8.33276
1.57,8.31204
1.58,8.2915
1.59,8.27114
1.6,8.25096
1.61,8.23095
1.62,8.21112
1.63,8.19146
1.64,8.17197
1.65,8.15264
1.66,8.13348
1.67,8.11449
1.68,8.09565
1.69,8.07697
1.7,8.05844
1.71,8.04006
1.72,8.02183
1.73,8.00375
1.74,7.9858
1.75,7.96799
1.76,7.95031
1.77,7.93277
1.78,7.91534
1.79,7.89804
1.8,7.88085
1.81,7.86378
1.82,7.84681
1.83,7.82995
1.84,7.81318
1.85,7.79651
1.86,7.77993
1.87,7.76343
1.88,7.74701
1.89,7.73067
1.9,7.7144
1.91,7.69819
1.92,7.68203
1.93,7.66594
1.94,7.64989
1.95,7.63388
1.96,7.61791
1.97,7.60198
1.98,7.58607
1.99,7.57018
2,7.55431
2.01,7.53846
2.02,7.5226
2.03,7.50675
2.04,7.4909
2.05,7.47503
2.06,7.45915
2.07,7.44325
2.08,7.42733
2.09,7.41138
2.1,7.39539
2.11,7.37936
2.12,7.36328
2.13,7.34716
2.14,7.33098
2.15,7.31474
2.16,7.29844
2.17,7.28207
2.18,7.26563
2.19,7.24911
2.2,7.23251
2.21,7.21583
2.22,7.19906
2.23,7.18219
2.24,7.16523
2.25,7.14818
2.26,7.13101
2.27,7.11374
2.28,7.09637
2.29,7.07888
2.3,7.06127
2.31,7.04355
2.32,7.0257
2.33,7.00773
2.34,6.98964
2.35,6.97142
2.36,6.95307
2.37,6.93459
2.38,6.91598
2.39,6.89723
2.4,6.87834
2.41,6.85932
2.42,6.84016
2.43,6.82086
2.44,6.80142
2.45,6.78184
2.46,6.76212
2.47,6.74225
2.48,6.72225
2.49,6.7021
2.5,6.68181
2.51,6.66138
2.52,6.64081
2.53,6.62009
2.54,6.59924
2.55,6.57825
2.56,6.55711
2.57,6.53585
2.58,6.51444
2.59,6.4929
2.6,6.47123
2.61,6.44942
2.62,6.42749
2.63,6.40543
2.64,6.38324
2.65,6.36092
2.66,6.33849
2.67,6.31593
2.68,6.29326
2.69,6.27047
2.7,6.24757
2.71,6.22456
2.72,6.20145
2.73,6.17823
2.74,6.15491
2.75,6.13149
2.76,6.10797
2.77,6.08437
