dt,WR
0,13.5
0.01,13.4988
0.02,13.4951
0.03,13.4891
0.04,13.4806
0.05,13.4697
0.06,13.4564
0.07,13.4408
0.08,13.4228
0.09,13.4025
0.1,13.38
0.11,13.3552
0.12,13.3283
0.13,13.2992
0.14,13.268
0.15,13.2348
0.16,13.1995
0.17,13.1624
0.18,13.1234
0.19,13.0826
0.2,13.04
0.21,12.9958
0.22,12.95
0.23,12.9027
0.24,12.8539
0.25,12.8038
0.26,12.7524
0.27,12.6998
0.28,12.646
0.29,12.5912
0.3,12.5354
0.31,12.4788
0.32,12.4213
0.33,12.3632
0.34,12.3044
0.35,12.2451
0.36,12.1853
0.37,12.1251
0.38,12.0646
0.39,12.004
0.4,11.9431
0.41,11.8822
0.42,11.8214
0.43,11.7606
0.44,11.7
0.45,11.6396
0.46,11.5795
0.47,11.5198
0.48,11.4606
0.49,11.4018
0.5,11.3435
0.51,11.2859
0.52,11.229
0.53,11.1727
0.54,11.1172
0.55,11.0625
0.56,11.0086
0.57,10.9556
0.58,10.9035
0.59,10.8523
0.6,10.8021
0.61,10.7529
0.62,10.7046
0.63,10.6574
0.64,10.6112
0.65,10.5661
0.66,10.5219
0.67,10.4788
0.68,10.4368
0.69,10.3958
0.7,10.3558
0.71,10.3168
0.72,10.2788
0.73,10.2418
0.74,10.2057
0.75,10.1706
0.76,10.1363
0.77,10.103
0.78,10.0705
0.79,10.0387
0.8,10.0078
0.81,9.97759
0.82,9.94807
0.83,9.91921
0.84,9.89094
0.85,9.86324
0.86,9.83605
0.87,9.80933
0.88,9.78302
0.89,9.75708
0.9,9.73146
0.91,9.7061
0.92,9.68096
0.93,9.65598
0.94,9.63112
0.95,9.60631
0.96,9.58152
0.97,9.55668
0.98,9.53176
0.99,9.5067
1,9.48145
1.01,9.45597
1.02,9.43022
1.03,9.40414
1.04,9.3777
1.05,9.35085
1.06,9.32356
1.07,9.29578
1.08,9.26749
1.09,9.23865
1.1,9.20922
1.11,9.17918
1.12,9.14851
1.13,9.11717
1.14,9.08515
1.15,9.05242
1.16,9.01897
1.17,8.98479
1.18,8.94986
1.19,8.91417
1.2,8.87772
1.21,8.84049
1.22,8.8025
1.23,8.76374
1.24,8.72421
1.25,8.68393
1.26,8.64289
1.27,8.60111
1.28,8.55861
1.29,8.51539
1.3,8.47148
1.31,8.42689
1.32,8.38165
1.33,8.33579
1.34,8.28932
1.35,8.24228
1.36,8.19469
1.37,8.14659
1.38,8.098
1.39,8.04897
1.4,7.99952
1.41,7.9497
1.42,7.89953
1.43,7.84907
1.44,7.79834
1.45,7.74739
1.46,7.69625
1.47,7.64497
1.48,7.59359
1.49,7.54214
1.5,7.49067
1.51,7.43922
1.52,7.38782
1.53,7.33652
1.54,7.28536
1.55,7.23436
1.56,7.18358
1.57,7.13305
1.58,7.0828
1.59,7.03286
1.6,6.98328
1.61,6.93407
1.62,6.88527
1.63,6.83692
